model,model_as_printed,pixel_accuracy,miou,alpha_phase_iou,avg_colony_iou_classes_2_5,source_table,source_pdf_page
unet_vgg,VGG based U-Net,0.9000,0.6989,0.8746,0.6538,3,6
segformer,SegFormer,0.8449,0.6725,0.8410,0.6725,3,6
